"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","DT00","DX90","EMNT","EMXT","PRCP","TAVG","TMAX","TMIN"
"USC00042456","39.3575","-121.2011","499.9","2009-02","0","0","24","72","9.12","46.7","58.2","35.3"
"USC00042456","39.3575","-121.2011","499.9","2009-03","0","0","25","77","6.49","50.0","63.9","36.1"
"USC00045721","34.9436","-115.5469","1325.9","2009-01","0","0","28","67","0.04","50.8","58.6","42.9"
"USC00045721","34.9436","-115.5469","1325.9","2009-02","0","0","27","68","1.10","45.6","53.4","37.9"
"USC00045721","34.9436","-115.5469","1325.9","2009-03","0","0","30","73","0.00","53.0","62.0","44.1"
"USC00045721","34.9436","-115.5469","1325.9","2009-04","0","0","29","86","0.12","57.3","67.5","47.1"
"USR0000CGOR","40.7586","-120.8961","1889.8","2009-01","0","0","3","67",,"34.4","45.9","22.8"
"USR0000CGOR","40.7586","-120.8961","1889.8","2009-02","0","0","7","54",,"31.9","40.6","23.2"
"USR0000CGOR","40.7586","-120.8961","1889.8","2009-03","0","0","7","63",,"34.4","46.4","22.4"
"USR0000CGOR","40.7586","-120.8961","1889.8","2009-04","0","0","13","77",,"40.1","52.2","27.9"
"USR0000CREA","40.5158","-122.2906","152.4","2009-01","0","0","28","78",,"50.1","63.5","36.8"
"USR0000CREA","40.5158","-122.2906","152.4","2009-02","0","0","28","75",,"47.9","57.6","38.2"
"USR0000CREA","40.5158","-122.2906","152.4","2009-03","0","0","29","80",,"53.4","65.7","41.0"
"USR0000CREA","40.5158","-122.2906","152.4","2009-04","0","5","31","99",,"58.9","74.6","43.2"
"USC00045968","32.8672","-116.4194","1804.4","2009-01",,,,,,,,
"USC00045968","32.8672","-116.4194","1804.4","2009-02",,,,,,,,
"USC00045968","32.8672","-116.4194","1804.4","2009-03",,,,,"0.05",,,
"USC00045968","32.8672","-116.4194","1804.4","2009-04",,,,,"0.25",,,
"US1CAMT0009","36.602176","-121.932024","85.3","2009-01",,,,,"2.19",,,
"US1CAMT0009","36.602176","-121.932024","85.3","2009-02",,,,,"5.29",,,
"US1CAMT0009","36.602176","-121.932024","85.3","2009-03",,,,,"1.99",,,
"US1CAMT0008","36.187198","-121.146055","113.1","2009-01",,,,,"0.81",,,
"US1CAMT0008","36.187198","-121.146055","113.1","2009-02",,,,,"3.04",,,
"US1CAMT0008","36.187198","-121.146055","113.1","2009-03",,,,,"1.02",,,
"US1CAMT0007","36.59366","-121.855663","32.9","2009-01",,,,,"2.22",,,
"US1CAMT0007","36.59366","-121.855663","32.9","2009-02",,,,,"5.02",,,
"US1CAMT0007","36.59366","-121.855663","32.9","2009-03",,,,,"2.48",,,
"US1CAMT0007","36.59366","-121.855663","32.9","2009-04",,,,,"0.35",,,
"US1CAMT0006","36.776417","-121.728389","5.5","2009-01",,,,,"1.33",,,
"US1CAMT0006","36.776417","-121.728389","5.5","2009-02",,,,,"5.89",,,
"US1CAMT0006","36.776417","-121.728389","5.5","2009-04",,,,,"0.31",,,
"US1CAMT0005","36.02486","-121.174455","336.5","2009-01",,,,,"1.30",,,
"US1CAMT0005","36.02486","-121.174455","336.5","2009-02",,,,,"4.61",,,
"US1CAMT0005","36.02486","-121.174455","336.5","2009-04",,,,,"0.46",,,
"US1CAMT0004","36.618704","-121.913017","36.3","2009-01",,,,,"2.08",,,
"US1CAMT0004","36.618704","-121.913017","36.3","2009-02",,,,,"5.33",,,
"US1CAMT0004","36.618704","-121.913017","36.3","2009-03",,,,,"2.46",,,
"US1CAMT0004","36.618704","-121.913017","36.3","2009-04",,,,,"0.26",,,
"USR0000CGOO","33.0736","-116.8458","466.3","2009-01","0","0","30","85",,"57.7","71.3","44.1"
"USR0000CGOO","33.0736","-116.8458","466.3","2009-02","0","0","30","86",,"52.8","65.4","40.1"
"USR0000CGOO","33.0736","-116.8458","466.3","2009-03","0","0","32","88",,"54.1","69.7","38.4"
"USR0000CGOO","33.0736","-116.8458","466.3","2009-04","0","3","35","96",,"58.2","72.3","44.1"
"US1CAMT0003","35.980762","-121.11736","360.0","2009-01",,,,,"1.16",,,
"US1CAMT0003","35.980762","-121.11736","360.0","2009-02",,,,,"4.53",,,
"US1CAMT0003","35.980762","-121.11736","360.0","2009-03",,,,,"1.34",,,
"US1CAMT0002","36.475668","-121.728467","109.4","2009-01",,,,,"2.00",,,
"US1CAMT0002","36.475668","-121.728467","109.4","2009-02",,,,,"5.57",,,
"US1CAMT0002","36.475668","-121.728467","109.4","2009-03",,,,,"3.02",,,
"US1CAMT0002","36.475668","-121.728467","109.4","2009-04",,,,,"0.44",,,
"USR0000CRCH","33.2222","-116.4975","1345.7","2009-01","0","0","29","69",,"50.4","58.3","42.5"
"USR0000CRCH","33.2222","-116.4975","1345.7","2009-02","0","0","24","68",,"45.7","52.8","38.7"
"USR0000CRCH","33.2222","-116.4975","1345.7","2009-03","0","0","29","75",,"50.5","60.6","40.3"
"USR0000CRCH","33.2222","-116.4975","1345.7","2009-04","0","0","30","85",,"53.3","64.3","42.3"
"US1CAMT0011","36.2242","-121.7627","251.2","2009-02",,,,,"8.80",,,
"USC00042467","39.3239","-120.2331","1809.6","2009-02","2","0","-1","56","6.44","28.8","40.4","17.2"
"USC00042467","39.3239","-120.2331","1809.6","2009-03","0","0","2","60","7.23","31.1","44.4","17.7"
"USC00042467","39.3239","-120.2331","1809.6","2009-04","0","0","12","77","0.17","40.3","56.0","24.5"
"USC00044405","34.1471","-116.2747","781.2","2009-01","0","0","25","70","0.00","50.9","62.9","38.9"
"USC00044405","34.1471","-116.2747","781.2","2009-02","0","0","27","73","0.73","49.4","62.0","36.7"
"USC00044405","34.1471","-116.2747","781.2","2009-03","0","0","29","83","0.00","55.2","70.9","39.5"
"USC00044405","34.1471","-116.2747","781.2","2009-04","0","3","34","93","0.00","60.8","76.4","45.3"
"USC00047916","36.98785","-121.99952","21.3","2009-01","0","0","28","79","1.84","52.5","64.7","40.4"
"USC00047916","36.98785","-121.99952","21.3","2009-02","0","0","34","77","10.29","51.8","60.0","43.7"
"USC00047916","36.98785","-121.99952","21.3","2009-03","0","0","34","75","2.07","53.3","63.4","43.3"
"USC00047916","36.98785","-121.99952","21.3","2009-04","0","3","36","97","0.43","56.4","67.7","45.0"
"USC00046826","38.2577","-122.6077","6.1","2009-01","0",,"23",,"0.76",,,"35.3"
"USC00046826","38.2577","-122.6077","6.1","2009-02","0","0","30","68","7.71","49.5","59.3","39.8"
"USC00046826","38.2577","-122.6077","6.1","2009-03","0","0","29","76","2.13","52.6","63.5","41.6"
"USC00046826","38.2577","-122.6077","6.1","2009-04","0",,"32",,"0.54",,,"40.9"
"USC00043791","40.3636","-122.965","838.2","2009-01",,,,,,,,
"US1CAMT0017","36.85","-121.65","104.9","2009-04",,,,,"0.40",,,
"USC00043551","36.73751","-118.96197","2005.6","2009-01","0","0","10","62","6.02","39.8","49.9","29.7"
"USC00043551","36.73751","-118.96197","2005.6","2009-02","0","0","8","62","9.01","33.1","42.5","23.6"
"USC00043551","36.73751","-118.96197","2005.6","2009-03","0","0","10","61","3.69","36.7","47.5","25.9"
"USC00043551","36.73751","-118.96197","2005.6","2009-04","0","0","17","71","2.69","40.6","51.3","29.9"
"USC00044881","37.9567","-119.1194","2071.7","2009-01","0","0","9","55","0.88","33.1","44.7","21.5"
"USC00044881","37.9567","-119.1194","2071.7","2009-02","0","0","6","57","2.43","32.5","42.5","22.5"
"USC00044881","37.9567","-119.1194","2071.7","2009-03","0","0","12","65","2.15","38.1","50.4","25.8"
"USC00044881","37.9567","-119.1194","2071.7","2009-04","0","0","13","76","0.30","44.0","57.6","30.4"
"USW00093210","39.49","-121.61833","57.9","2009-01","0","0","28","83","2.22","48.1","58.3","37.8"
"USW00093210","39.49","-121.61833","57.9","2009-02","0","0","31","69","6.73","50.3","58.3","42.3"
"USW00093210","39.49","-121.61833","57.9","2009-03","0","0","33","79","2.14","54.2","65.0","43.4"
"USW00093210","39.49","-121.61833","57.9","2009-04","0","3","38","96","0.42","60.4","73.6","47.1"
"USW00093209","35.6697","-120.6283","246.9","2009-01","0","0","23","79","0.61","48.8","65.4","32.2"
"USW00093209","35.6697","-120.6283","246.9","2009-02","0","0","29","77","2.61","49.5","61.5","37.5"
"USW00093209","35.6697","-120.6283","246.9","2009-03","0","0","27","80","1.03","52.6","67.1","38.0"
"USW00093209","35.6697","-120.6283","246.9","2009-04","0","3","28","99","0.08","56.3","73.8","38.7"
"US1CASH0006","40.523927","-121.795657","1208.2","2009-01",,,,,"3.22",,,
"US1CASH0006","40.523927","-121.795657","1208.2","2009-02",,,,,"7.75",,,
"US1CASH0006","40.523927","-121.795657","1208.2","2009-03",,,,,"5.29",,,
"US1CASH0006","40.523927","-121.795657","1208.2","2009-04",,,,,"1.10",,,
"USC00044412","33.0763","-116.5925","1284.7","2009-01","0","0","25","65","0.36","47.3","55.5","39.1"
"USC00044412","33.0763","-116.5925","1284.7","2009-02","0","0","24","63","7.22","43.1","50.7","35.4"
"USC00044412","33.0763","-116.5925","1284.7","2009-03",,,,,"0.22",,,
"USC00044412","33.0763","-116.5925","1284.7","2009-04","0","0","30","83","0.46","50.9","61.2","40.6"
"US1CASH0005","40.601302","-122.222054","149.0","2009-01",,,,,"1.68",,,
"US1CASH0005","40.601302","-122.222054","149.0","2009-03",,,,,"2.35",,,
"USC00045502","33.5697","-116.073","-55.8","2009-01","0","0","31","85","0.00","60.0","75.0","45.0"
"USC00045502","33.5697","-116.073","-55.8","2009-02","0","0","34","86","0.16","58.8","74.2","43.4"
"USC00045502","33.5697","-116.073","-55.8","2009-03","0","4","41","92","0.00","66.5","82.8","50.2"
"USC00045502","33.5697","-116.073","-55.8","2009-04",,,,,"0.00",,,
"USC00041149","40.8669","-121.8463","1158.2","2009-01",,,,,"3.47",,,
"USC00041149","40.8669","-121.8463","1158.2","2009-02",,,,,"13.54",,,
"USC00041149","40.8669","-121.8463","1158.2","2009-03",,,,,"7.28",,,
"USC00041149","40.8669","-121.8463","1158.2","2009-04",,,,,"1.88",,,
"USC00042239","32.9897","-116.5872","1414.3","2009-01","0","0","21","66","0.34","44.2","55.8","32.5"
"USC00042239","32.9897","-116.5872","1414.3","2009-02","0","0","16","65","5.38","41.0","50.9","31.1"
"USC00042239","32.9897","-116.5872","1414.3","2009-03","0","0","21","74","0.72","45.4","58.0","32.8"
"USC00042239","32.9897","-116.5872","1414.3","2009-04","0","0","27","83","0.58","47.8","60.3","35.4"
"US1CASH0009","40.610434","-122.380234","215.8","2009-03",,,,,"7.44",,,
"US1CASH0009","40.610434","-122.380234","215.8","2009-04",,,,,"1.38",,,
"US1CASH0008","40.6089","-122.3388","198.7","2009-01",,,,,"0.69",,,
"US1CASH0008","40.6089","-122.3388","198.7","2009-02",,,,,"11.52",,,
"US1CASH0008","40.6089","-122.3388","198.7","2009-03",,,,,"5.66",,,
"US1CASH0008","40.6089","-122.3388","198.7","2009-04",,,,,"1.57",,,
"USC00044890","36.3817","-119.0264","156.4","2009-01","0","0","31","74","1.27","48.5","59.0","38.0"
"USC00044890","36.3817","-119.0264","156.4","2009-02","0","0","30","78","2.39","51.4","62.5","40.3"
"USC00044890","36.3817","-119.0264","156.4","2009-03","0","0","30","83","0.59","55.6","69.6","41.5"
"USC00044890","36.3817","-119.0264","156.4","2009-04","0","4","36","99","0.67","61.6","77.0","46.1"
"USC00045983","41.32191","-122.31777","1101.2","2009-01","0","0","10","60","1.15","37.9","50.2","25.6"
"USC00045983","41.32191","-122.31777","1101.2","2009-02","0","0","13","65","10.52","36.8","45.6","28.0"
"USC00045983","41.32191","-122.31777","1101.2","2009-03","0","0","15","67","9.00","40.7","52.6","28.8"
"USC00045983","41.32191","-122.31777","1101.2","2009-04","0","0","17","86","0.69","45.8","60.2","31.3"
"USW00093205","39.1019","-121.5677","18.9","2009-01","0","0","24","76","1.34","47.0","59.2","34.8"
"USW00093205","39.1019","-121.5677","18.9","2009-02","0","0","27","70","5.02","50.4","60.2","40.7"
"USW00093205","39.1019","-121.5677","18.9","2009-03","0","0","31","80","1.96","54.4","66.4","42.3"
"USW00093205","39.1019","-121.5677","18.9","2009-04","0","3","35","96","0.31","59.8","74.4","45.1"
"US1CASH0002","40.3971","-122.276","137.8","2009-02",,,,,"9.56",,,
"US1CASH0002","40.3971","-122.276","137.8","2009-03",,,,,"1.97",,,
"US1CASH0002","40.3971","-122.276","137.8","2009-04",,,,,"0.61",,,
"USW00093206","35.23722","-120.64139","61.0","2009-01","0","0","34","87","0.48","57.3","72.4","42.3"
"USW00093206","35.23722","-120.64139","61.0","2009-02","0","0","36","82","4.63","53.9","65.1","42.8"
"USW00093206","35.23722","-120.64139","61.0","2009-03","0","0","34","83","0.95","56.3","67.7","44.9"
"USW00093206","35.23722","-120.64139","61.0","2009-04","0","3","36","101","0.50","58.0","71.3","44.7"
"US1CASH0001","40.624072","-122.351012","188.4","2009-01",,,,,"0.67",,,
"US1CASH0001","40.624072","-122.351012","188.4","2009-02",,,,,"13.43",,,
"US1CASH0001","40.624072","-122.351012","188.4","2009-03",,,,,"8.72",,,
"USS0020H12S","41.99","-120.18","2243.3","2009-01","0","0","0","54","3.00","29.9","38.8","21.1"
"USS0020H12S","41.99","-120.18","2243.3","2009-02","0","0","8","49","6.29","27.5","33.7","21.4"
"USS0020H12S","41.99","-120.18","2243.3","2009-03","0","0","3","49","6.10","27.8","36.4","19.2"
"USS0020H12S","41.99","-120.18","2243.3","2009-04","0","0","5","65","5.49","34.2","44.2","24.2"
"US1CASH0018","40.623488","-122.353615","184.1","2009-03",,,,,"8.45",,,
"USC00045756","35.0492","-118.1619","833.6","2009-01","0","0","23","70","0.00","47.6","61.7","33.6"
"USC00045756","35.0492","-118.1619","833.6","2009-02","0","0","29","69","2.05","46.3","55.9","36.8"
"USC00045756","35.0492","-118.1619","833.6","2009-03","0","0","29","80","0.00","52.9","66.0","39.8"
"USC00047933","35.3741","-120.6375","349.9","2009-01",,,,,"1.18",,,
"USC00047933","35.3741","-120.6375","349.9","2009-02",,,,,"8.09",,,
"USC00047933","35.3741","-120.6375","349.9","2009-03",,,,,"2.94",,,
"USC00047933","35.3741","-120.6375","349.9","2009-04",,,,,"0.76",,,
"USC00041159","39.9372","-121.3147","576.4","2009-01",,,,,"3.81",,,
"USC00041159","39.9372","-121.3147","576.4","2009-02",,,,,"15.50",,,
"USC00041159","39.9372","-121.3147","576.4","2009-03",,,,,"11.17",,,
"USC00041159","39.9372","-121.3147","576.4","2009-04",,,,,"0.85",,,
"USC00043578","38.4305","-122.8647","61.0","2009-01","0","0","23","84","0.78","47.9","63.9","32.0"
"USC00043578","38.4305","-122.8647","61.0","2009-02","0","0","25","75","11.40","48.6","60.5","36.6"
"USC00043578","38.4305","-122.8647","61.0","2009-03","0","0","25","85","3.02","52.4","67.0","37.9"
"USC00043578","38.4305","-122.8647","61.0","2009-04","0","3","29","96","0.48","55.8","73.8","37.8"
"USC00046602","34.3294","-118.4005","472.4","2009-01",,,,,"1.30",,,
"USC00046602","34.3294","-118.4005","472.4","2009-02",,,,,"5.48",,,
"USC00046602","34.3294","-118.4005","472.4","2009-03",,,,,"0.60",,,
"USC00046602","34.3294","-118.4005","472.4","2009-04",,,,,"0.17",,,
"US1CASH0010","40.67211","-122.29128","207.6","2009-03",,,,,"9.57",,,
"US1CASH0010","40.67211","-122.29128","207.6","2009-04",,,,,"1.39",,,
"US1CASH0014","40.6284","-122.3577","187.1","2009-03",,,,,"7.48",,,
"USC00043573","39.2041","-121.068","731.5","2009-01","0","0","24","76","3.12","45.9","59.6","32.1"
"USC00043573","39.2041","-121.068","731.5","2009-02","0","0","25","71","11.11","42.9","51.8","34.1"
"USC00043573","39.2041","-121.068","731.5","2009-03","0","0","25","69","6.50","45.6","56.9","34.2"
"USC00043573","39.2041","-121.068","731.5","2009-04","0","0","28","87","1.61","50.6","63.0","38.2"
"US1CASH0013","40.627274","-122.356407","185.6","2009-03",,,,,"8.03",,,
"USR0000CRAV","40.7308","-120.3164","1614.8","2009-01","0","0","1","57",,"32.5","44.2","20.9"
"USR0000CRAV","40.7308","-120.3164","1614.8","2009-02","0","0","11","56",,"34.1","43.5","24.6"
"USR0000CRAV","40.7308","-120.3164","1614.8","2009-03","0","0","11","65",,"36.6","48.2","25.0"
"USR0000CRAV","40.7308","-120.3164","1614.8","2009-04","0","0","18","79",,"42.8","55.9","29.6"
"USC00044422","34.4908","-119.5069","688.8","2009-01",,,,,"1.05",,,
"USC00044422","34.4908","-119.5069","688.8","2009-02",,,,,"7.85",,,
"USC00044422","34.4908","-119.5069","688.8","2009-03",,,,,"0.72",,,
"USC00044422","34.4908","-119.5069","688.8","2009-04",,,,,"0.25",,,
"USR0000CCDG","36.7878","-118.6561","1438.7","2009-01","0","0","12","75",,"43.4","59.6","27.3"
"USR0000CCDG","36.7878","-118.6561","1438.7","2009-02","0","0","9","71",,"39.8","54.2","25.4"
"USR0000CCDG","36.7878","-118.6561","1438.7","2009-03","0","0","14","73",,"42.9","58.8","26.9"
"USR0000CCDG","36.7878","-118.6561","1438.7","2009-04","0","0","21","86",,"47.7","64.4","31.0"
"US1CASH0011","40.62608","-122.358503","188.4","2009-03",,,,,"8.25",,,
"US1CASH0011","40.62608","-122.358503","188.4","2009-04",,,,,"1.34",,,
"USW00024216","40.1519","-122.2536","107.6","2009-01","0","0","28","78","0.85","50.7","63.2","38.2"
"USW00024216","40.1519","-122.2536","107.6","2009-02","0","0","29","72","8.04","49.2","57.8","40.6"
"USW00024216","40.1519","-122.2536","107.6","2009-03","0","0","31","81","1.26","54.3","65.8","42.8"
"USW00024216","40.1519","-122.2536","107.6","2009-04","0","4","35","95","0.43","59.9","74.0","45.9"
"USW00023129","33.8116","-118.1463","9.4","2009-01","0","0","38","87","0.17","60.0","72.5","47.6"
"USW00023129","33.8116","-118.1463","9.4","2009-02","0","0","39","84","4.05","56.3","65.5","47.1"
"USW00023129","33.8116","-118.1463","9.4","2009-03","0","0","44","82","0.42","58.8","67.6","50.0"
"USW00023129","33.8116","-118.1463","9.4","2009-04","0","3","46","100","0.01","62.3","72.0","52.7"
"USW00024215","41.3325","-122.33278","1077.5","2009-01","0","0","13","58","0.82","37.8","48.0","27.7"
"USW00024215","41.3325","-122.33278","1077.5","2009-02","0","0","14","64","9.02","37.2","45.7","28.7"
"USW00024215","41.3325","-122.33278","1077.5","2009-03","0","0","17","67","7.76","40.7","51.5","29.9"
"USW00024215","41.3325","-122.33278","1077.5","2009-04","0","0","20","87","0.52","46.8","60.5","33.1"
"USW00024213","40.8097","-124.1602","6.1","2009-01","0","0","29","64","1.58","46.7","55.0","38.4"
"USW00024213","40.8097","-124.1602","6.1","2009-02","0","0","33","71","6.20","48.2","55.9","40.6"
"USW00024213","40.8097","-124.1602","6.1","2009-03","0","0","30","64","5.45","47.9","54.4","41.4"
"USW00024213","40.8097","-124.1602","6.1","2009-04","0","0","34","70","1.24","49.7","56.4","43.0"
"US1CAYL0001","38.5425","-121.721","11.0","2009-01",,,,,"1.30",,,
"US1CAYL0001","38.5425","-121.721","11.0","2009-02",,,,,"5.76",,,
"US1CAYL0001","38.5425","-121.721","11.0","2009-03",,,,,"1.73",,,
"US1CAYL0001","38.5425","-121.721","11.0","2009-04",,,,,"0.67",,,
"US1CAYL0003","38.572769","-121.840179","25.0","2009-01",,,,,"1.13",,,
"US1CAYL0003","38.572769","-121.840179","25.0","2009-03",,,,,"1.69",,,
"US1CAYL0002","38.561849","-121.724134","12.5","2009-01",,,,,"1.24",,,
"US1CAYL0002","38.561849","-121.724134","12.5","2009-02",,,,,"5.29",,,
"US1CAYL0002","38.561849","-121.724134","12.5","2009-03",,,,,"1.71",,,
"US1CAYL0002","38.561849","-121.724134","12.5","2009-04",,,,,"0.55",,,
"US1CAYL0004","38.542731","-121.723406","11.9","2009-03",,,,,"1.69",,,
"US1CAYL0004","38.542731","-121.723406","11.9","2009-04",,,,,"0.66",,,
"US1CASH0021","40.57955","-122.37272","144.8","2009-03",,,,,"4.06",,,
"US1CASH0021","40.57955","-122.37272","144.8","2009-04",,,,,"1.17",,,
"USC00044671","34.2466","-117.1883","1586.5","2009-01",,,,,,,,
"USC00044671","34.2466","-117.1883","1586.5","2009-04",,,,,"0.10",,,
"USR0000CTE2","34.4806","-118.7556","347.5","2009-01","0","0","33","85",,"58.4","69.5","47.1"
"USR0000CTE2","34.4806","-118.7556","347.5","2009-02","0","0","32","79",,"52.6","63.6","41.5"
"USR0000CTE2","34.4806","-118.7556","347.5","2009-03","0","0","37","87",,"56.5","69.5","43.4"
"USR0000CTE2","34.4806","-118.7556","347.5","2009-04","0","3","40","100",,"60.1","74.8","45.4"
"USC00042494","33.9297","-118.1455","33.5","2009-01",,,,,"0.57",,,
"USC00042494","33.9297","-118.1455","33.5","2009-03",,,,,"0.12",,,
"USC00042494","33.9297","-118.1455","33.5","2009-04",,,,,,,,
"USC00046610","36.715","-121.34917","275.8","2009-01",,"0",,"74","2.69",,"59.2",
"USC00046610","36.715","-121.34917","275.8","2009-02","0","0","27","73","3.35","46.9","58.2","35.6"
"USC00046610","36.715","-121.34917","275.8","2009-03","0","0","25","76","2.12","48.3","61.7","34.9"
"USC00046610","36.715","-121.34917","275.8","2009-04",,"3",,"96","0.06",,"68.1",
"US1CASH0024","40.631232","-122.358376","187.8","2009-04",,,,,"1.67",,,
"USC00042012","36.0975","-119.5817","61.0","2009-01","0","0","28","67","0.38","47.4","56.6","38.2"
"USC00042012","36.0975","-119.5817","61.0","2009-02","0","0","31","73","1.11","50.7","61.9","39.5"
"USC00042012","36.0975","-119.5817","61.0","2009-03","0","0","30","81","0.25","54.9","68.8","41.0"
"USC00042012","36.0975","-119.5817","61.0","2009-04","0","5","35","97","0.04","61.4","77.7","45.2"
"USW00023130","34.20972","-118.48917","234.7","2009-01","0","0","37","84","0.46","60.3","71.7","48.9"
"USW00023130","34.20972","-118.48917","234.7","2009-02","0","0","34","82","5.68","55.2","66.0","44.4"
"USW00023130","34.20972","-118.48917","234.7","2009-03","0","0","38","85","0.52","58.5","70.0","46.9"
"USW00023130","34.20972","-118.48917","234.7","2009-04","0","3","42","98","0.01","61.8","74.0","49.5"
"USR0000COZE","34.6819","-119.3539","1118.6","2009-01","0","0","23","82",,"50.3","65.4","35.3"
"USR0000COZE","34.6819","-119.3539","1118.6","2009-02","0","0","21","73",,"44.8","56.7","32.9"
"USR0000COZE","34.6819","-119.3539","1118.6","2009-03","0","0","20","83",,"49.1","66.6","31.5"
"USR0000COZE","34.6819","-119.3539","1118.6","2009-04","0","2","27","90",,"53.5","71.9","35.1"
"USR0000CIND","41.7417","-121.5383","1453.9","2009-01","0","0","11","58",,"37.0","47.5","26.5"
"USR0000CIND","41.7417","-121.5383","1453.9","2009-02","0","0","15","66",,"37.2","47.0","27.3"
"USR0000CIND","41.7417","-121.5383","1453.9","2009-03","0","0","16","65",,"38.3","49.4","27.2"
"USR0000CIND","41.7417","-121.5383","1453.9","2009-04","0","0","18","84",,"45.2","58.1","32.2"
"USR0000CCAR","35.0964","-119.7728","759.0","2009-01","0","0","32","78",,"53.0","61.6","44.3"
"USR0000CCAR","35.0964","-119.7728","759.0","2009-02","0","0","31","75",,"49.1","57.1","41.1"
"USR0000CCAR","35.0964","-119.7728","759.0","2009-03","0","0","33","75",,"52.0","61.8","42.3"
"USR0000CCAR","35.0964","-119.7728","759.0","2009-04","0","1","32","91",,"56.7","69.2","44.2"
"USR0000CCAT","37.4681","-120.1106","365.8","2009-01","0","0","33","73",,"48.7","57.1","40.2"
"USR0000CCAT","37.4681","-120.1106","365.8","2009-02","0","0","32","75",,"50.3","58.4","42.2"
"USR0000CCAT","37.4681","-120.1106","365.8","2009-03","0","0","32","76",,"52.8","62.7","42.8"
"USR0000CCAT","37.4681","-120.1106","365.8","2009-04","0","3","35","91",,"58.0","70.2","45.8"
"USR0000CCAS","33.445","-117.4181","707.1","2009-01","0","0","39","80",,"59.3","66.6","52.1"
"USR0000CCAS","33.445","-117.4181","707.1","2009-02","0","0","35","78",,"52.7","59.4","45.9"
"USR0000CCAS","33.445","-117.4181","707.1","2009-03","0","0","38","83",,"53.9","61.9","45.8"
"USR0000CCAS","33.445","-117.4181","707.1","2009-04","0","1","37","92",,"56.2","64.8","47.6"
"USW00023136","34.21667","-119.08333","23.5","2009-01","0","0","33","88","0.27","58.9","70.5","47.4"
"USW00023136","34.21667","-119.08333","23.5","2009-02","0","0","33","82","2.93","53.3","64.2","42.4"
"USW00023136","34.21667","-119.08333","23.5","2009-03","0","0","35","79","0.29","54.5","65.4","43.6"
"USW00023136","34.21667","-119.08333","23.5","2009-04","0","2","36","96","0.01","57.1","69.0","45.1"
